codigo_materia_prima;descricao_materia_prima;consumo_mp_12_meses;consumo_mp_6_meses;consumo_mp_3_meses;media_12_meses;media_6_meses;media_3_meses;maior_media
101890;CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMLW CANECA PLASTICA 25uf 250V;13854,0;8634,0;6039,0;1154,5;1439,0;2013,0;2013,0
911080;PLACA REVISADA CENTRAL FLEX;23507,0;10619,0;5184,0;1958,9167;1769,8333;1728,0;1958,9167
813025;VENTOINHA DOS MOTORES;23390,0;9833,0;5090,0;1949,1667;1638,8333;1696,6667;1949,1667
403049;MOLA PARA DESTRAVAMENTO PIVOTANTE;18407,0;9664,0;5588,0;1533,9167;1610,6667;1862,6667;1862,6667
202094;AÇO RED LAM Ø 12MM 6M 1020;21947,4198;5796,2874;3930,9686;1828,9516;966,0479;1310,3229;1828,9516
401134;PARAFUSO PAN CRUZ 3,5MMX27MM (FABR. AGL) - ZINCADO (PROD);18896,0;9604,0;5190,0;1574,6667;1600,6667;1730,0;1730,0
813262;ACOPLAMENTO DO NEW BV/BV/PIVO;19484,0;8208,0;5046,0;1623,6667;1368,0;1682,0;1682,0
813108;SEM FIM DE DUAS ENTRADAS AÇO BV ANTIGO/ BV3/ BV4;19639,0;8485,0;4358,0;1636,5833;1414,1667;1452,6667;1636,5833
813033;TAMPA DE PROTEÇÃO DA VENTOINHA;19639,0;8485,0;4358,0;1636,5833;1414,1667;1452,6667;1636,5833
813270;CARCAÇA DE MOTOR BV/PIVO SUPERIOR;19639,0;8485,0;4358,0;1636,5833;1414,1667;1452,6667;1636,5833
813271;CARCAÇA DE MOTOR BV/PIVO INFERIOR;19639,0;8485,0;4358,0;1636,5833;1414,1667;1452,6667;1636,5833
813047;PASSA FIO DO BV;19639,0;8485,0;4358,0;1636,5833;1414,1667;1452,6667;1636,5833
813043;BUCHA DE CENTRAGEM DO SEM FIM DO BASCULANTE;19639,0;8485,0;4358,0;1636,5833;1414,1667;1452,6667;1636,5833
813280;CRUZETA DO MANCAL;19535,0;8167,0;4669,0;1627,9167;1361,1667;1556,3333;1627,9167
701147;EIXO PRINCIPAL DO ACIONAMENTO BV/PIVO - BRUTO;19534,0;8167,0;4669,0;1627,8333;1361,1667;1556,3333;1627,8333
813054;MANCAL PERFIL INFERIOR;19531,0;8167,0;4669,0;1627,5833;1361,1667;1556,3333;1627,5833
804508;COROA DO MOVIMENTADOR BV/PIVO NYLON Ø 20MM;19529,0;8165,0;4667,0;1627,4167;1360,8333;1555,6667;1627,4167
