"codigo","descricao","06/2025","07/2025","08/2025","09/2025","10/2025","11/2025","12/2025","01/2026","02/2026","03/2026","04/2026","05/2026","m_06/2025","m_07/2025","m_08/2025","m_09/2025","m_10/2025","m_11/2025","m_12/2025","m_01/2026","m_02/2026","m_03/2026","m_04/2026","m_05/2026","consumo_total_12_meses","media_diaria_12_meses"
"801132","ARGOLA DA CHAVE",3609,2985,4609,4687,5141,4229,2944,5142,4043,4808,2844,2158,120,96,149,156,166,141,95,166,144,155,95,70,47199,129
"103536","CABO EPR 130ºC 750V 0,50MM AZUL",2736,1623,3246,4597,4666,3761,3693,9158,1964,3824,3246,3905,91,52,105,153,151,125,119,295,70,123,108,126,46419,127
"813293","MIOLO DO CILINDRO NYLON MOTOR DESLIZANTE",3613,2936,4526,4646,5139,4171,2787,5013,3820,4615,2814,1828,120,95,146,155,166,139,90,162,136,149,94,59,45908,126
"813249","CILINDRO MOTOR DESLIZANTE NYLON",3613,2936,4526,4646,5139,4171,2787,5013,3820,4615,2814,1828,120,95,146,155,166,139,90,162,136,149,94,59,45908,126
"813096","ENGRENAGEM EXTERNA 17D PARA EIXO ESTAMPADO TRINO LIGHT/300",3568,2900,4426,4550,5132,4131,2760,5000,3809,4564,3114,1800,119,94,143,152,166,138,89,161,136,147,104,58,45754,125
"813294","PORCA DO CILINDRO NYLON MOTOR DESLIZANTE",3606,2935,4446,4646,5109,4153,2777,5013,3814,4597,2814,1819,120,95,143,155,165,138,90,162,136,148,94,59,45729,125
"401260","PARAFUSO MQ PN HXL T25 TMA 5X45 PS 30 ZB (ROSCA COMPLETA)",3568,2600,4426,4550,5132,4131,2740,5000,3789,4554,2814,1800,119,84,143,152,166,138,88,161,135,147,94,58,45104,124
"813525","EIXO ESTAMPADO PARA MOTOR TRINO LIGHT/300 - ZINCADO",3568,2600,4426,4550,5132,4131,2740,5000,3789,4554,2814,1800,119,84,143,152,166,138,88,161,135,147,94,58,45104,124
"401161","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 20MM T25",5175,2228,5400,1728,8502,666,2865,9003,4039,3033,1609,732,172,72,174,58,274,22,92,290,144,98,54,24,44980,123
"701145","FIM DE CURSO MECANICO - BRUTO",4745,4664,3656,4346,4882,5956,0,0,4389,10000,833,456,158,150,118,145,157,199,0,0,157,323,28,15,43927,120
"208004","IMÃ DE FERRITE - B20X13X5MM",6394,2357,4314,3654,3205,2501,1706,5225,2134,4024,5383,2128,213,76,139,122,103,83,55,169,76,130,179,69,43025,118
"813024","TAMPA PROTEÇÃO DO MOTOR - PRETA",3568,4067,4567,2331,5133,3310,2716,5169,3437,4283,2799,1426,119,131,147,78,166,110,88,167,123,138,93,46,42806,117
"701194","SUPORTE DE FIXAÇAO PARA CONJUNTO TANQUINHO",5066,0,40,5544,5754,1512,1830,4666,5524,6034,40,6060,169,0,1,185,186,50,59,151,197,195,1,195,42070,115
"811505","SACO PLASTICO TRANSPARENTE 14CM X 9CM",3718,2823,1987,3248,4504,3590,2467,5593,2463,4071,3538,3654,124,91,64,108,145,120,80,180,88,131,118,118,41656,114
"402017","CP DE FERRO ZINCADO 3/16 X 1. 1/4",6284,1528,3696,4850,3044,2897,1782,3538,2430,4081,4347,2840,209,49,119,162,98,97,57,114,87,132,145,92,41317,113
"103144","CABO CONECTOR TERMINAL WHITE WIRE BLK-4P 1800/650 BOX (BLK-4P 1800/650)",416,597,648,766,738,8215,1335,8054,6732,6471,4581,581,14,19,21,26,24,274,43,260,240,209,153,19,39134,107
"401162","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25",4153,14539,4760,924,912,474,3274,1374,270,2082,4704,63,138,469,154,31,29,16,106,44,10,67,157,2,37529,103
"804483","SUPORTE FIM DE CURSO DESLIZANTE (LADO DIREITO)",413,360,455,698,305,8079,1226,7737,6698,6303,4544,451,14,12,15,23,10,269,40,250,239,203,151,15,37269,102
"804482","SUPORTE FIM DE CURSO DESLIZANTE (LADO ESQUERDO)",413,360,455,698,305,8079,1226,7737,6698,6303,4544,451,14,12,15,23,10,269,40,250,239,203,151,15,37269,102
