Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,541,-14115,-19815,-20619,-31326,-36963,-41685,-43306,-43366,-43366.1,-131001.70370370311,-306275.1111111119,Unnamed: 16,194247,87635.70370370302,262909.11111111066,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Departamento,,Descrição,Seção,,,,,,,,,,,Estoque mínimo,Estoque Máximo,Curva,,Estoque min,Estoque max,,,,,,,,Carteira
ALMOXARIFADO,8001127,BLUSA MOLETOM UNISSEX AGL TAM: G,PRODUTOS DE MARKETING,0,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,C,0,0,0,0,0,0,0,0,0,,0x17
ALMOXARIFADO,8001110,CAMISA UNISEX MANGA CURTA INSTALADOR G,PRODUTOS DE MARKETING,0,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,C,0,0,0,0,0,0,0,0,0,,0x17
ALMOXARIFADO,8001021,CORDA DE CRACHÁ,PRODUTOS DE MARKETING,0,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,C,0,0,0,0,0,0,0,0,0,,0x17
ALMOXARIFADO,8001126,BLUSA MOLETOM UNISSEX AGL TAM: M,PRODUTOS DE MARKETING,0,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,C,0,0,0,0,0,0,0,0,0,,0x17
ALMOXARIFADO,8001129,CATÁLOGO DE PRODUTOS 2025,PRODUTOS DE MARKETING,0,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,C,0,0,0,0,0,0,0,0,0,,0x17
ELETROIMÃ,1301070,SUPORTE FECHADURA PV - ENCAIXE - CINZA,ACESSÓRIOS,0,-13,-18,-18,-23,-23,-23,-23,-23,-23,-45,-90,B,22,22,67,0,0,0,0,0,0,,0x17
FECHADURAS,1108006,GABINETE METÁLICO BRANCO 5U,GABINETES,0,-13,-13,-13,-13,-13,-13,-13,-13,-13,-41,-97,C,2,28,84,0,0,0,0,0,0,,0x17
FECHADURAS,1001359,FECHADURA AGL- AL100 - 12V CINZA - 42MM A. INT. CH.SIMP. F.CONV.,FECHADURA AGL - AL100,0,-13,-13,-13,-13,-13,-13,-13,-13,-13,-118,-329,B,17,105,316,0,0,0,0,0,0,,0x17
FECHADURAS,1002003,FECHADURA AGL- AL100R - 110V PRETA - 42MM CH.SIMP. F.ESP.,FECHADURA AGL - AL100R,0,-12,-14,-14,-59,-139,-139,-154,-154,-154,-229,-380,B,68,75,226,0,0,0,0,0,0,,0x17
INTERFONIA ,1110235,MODULO AUTOMAÇÃO INTELIGENTE WIFI 1 CANAL,IMPORTADOS,7,-12,-12,-12,-12,-12,-12,-12,-12,-12,-43,-106,B,0,31,94,0,0,0,0,0,0,,0x17
MOTORES,2005040,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC600 - 220V SEM TESTEIRA,AUTOMATIZADORES PORTA DE ENROLAR,0,-12,-12,-12,-12,-12,-12,-12,-12,-12,-44,-107,A,0,32,95,0,0,0,0,0,0,,0x17
INTERFONIA ,1110397,MAGIC TAG AGL 1 UNIDADE,IMPORTADOS,0,-11,-11,-11,-11,-11,-11,-11,-11,-11,-63,-168,A,23,52,157,0,0,0,0,0,0,,0x17
MOTORES,2007088,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO,PIVOTANTES SIMPLES,0,-10,-10,-10,-30,-30,-30,-30,-30,-30,-56,-109,C,2,26,79,0,0,0,0,0,0,,0x17
FECHADURAS,1002104,FECHADURA KRIPT- AL100R - 12V CINZA - 42MM CH.TETRA. F.ESP.,FECHADURA AGL - AL100R,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,C,0,0,0,0,0,0,0,0,0,,0x17
CANCELAS,1015616,CONJ. CILINDRO E CHAVE DE METAL P/ DESTRAVAMENTO CANCELA / TRAVA ELETROM.,REPOSIÇÃO E DIVERSOS -CANCELAS,10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-11,-12,C,0,1,2,0,0,0,0,0,0,,0x17
MOTORES,2008001,CONJ. MOVIMENTADOR TRINO BV3 127V SEM ACIONAMENTO,BASCULANTE BV,0,-9,-9,-9,-11,-11,-11,-11,-11,-11,-82,-224,A,14,71,213,0,0,0,0,0,0,,0x17
INTERFONIA ,1106341,FECHADURA ELETRÔNICA DIGITAL AGL - H30 BLACK WIFI,IMPORTADOS,3,-8,-8,-8,-8,-8,-8,-8,-8,-8,-31,-76,A,2,23,68,0,0,0,0,0,0,,0x17
CANCELAS,1015026,"CANCELA I10 BRUSHLESS P/ BARREIRA INOVE CERTO DC 2,5S - 4,5M A 6M CINZA",CANCELA,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,C,0,0,0,0,0,0,0,0,0,,0x17
FECHADURAS,1002068,FECHADURA AGL- AL100R - 12V PRETA - 55MM CH.SIMP. F.ESP.,FECHADURA AGL - AL100R,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-9,-14,C,3,2,7,0,0,0,0,0,0,,0x17
ELETROIMÃ,1301071,SUPORTE FECHADURA PV - ENCAIXE - PRETO,ACESSÓRIOS,0,-5,-5,-17,-17,-17,-17,-17,-17,-17,-47,-107,B,20,30,90,0,0,0,0,0,0,,
FECHADURAS,1004255,FECHADURA AGL- MINI - 12V PRETA - 42MM A.INT. CH.SIMP. F.CONV. C/BOTÃO,FECHADURA AGL-MINI,0,-5,-5,-5,-8,-8,-8,-8,-8,-8,-20,-44,C,1,12,36,0,0,0,0,0,0,,0x17
ALMOXARIFADO,8001054,CAMISA SOCIAL MANGA LONGA MASCULINA C/ LOGO AGL TAM: M,PRODUTOS DE MARKETING,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,C,0,0,0,0,0,0,0,0,0,,0x17
MOTORES,2009011,CONJ. MOVIMENTADOR INTELIGENTE - IZZY PIVO ROBÔ STRONG 220V 50-60HZ,PIVOTANTES ROBÔ,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-7,C,0,1,2,0,0,0,0,0,0,,0x17
FECHADURAS,1002135,FECHADURA AGL- AL100R - 12V PRETA - AJUST. CH.SIMP. F.ESP. C/BOTÃO,FECHADURA AGL - AL100R,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-8,C,0,1,3,0,0,0,0,0,0,,
FECHADURAS,1002022,FECHADURA AGL- AL100R - 12V PRETA - 42MM CH.SIMP. F.ESP. C/BOTÃO,FECHADURA AGL - AL100R,0,-4,-7,-7,-18,-30,-30,-34,-34,-34,-127,-314,B,16,93,280,0,0,0,0,0,0,,
FECHADURAS,1201001,FECHADURA AGL PV200R1I - CZ,FECHADURA PORTA DE VIDRO,0,-4,-4,-4,-11,-11,-11,-11,-11,-11,-218,-631,A,172,207,620,0,0,0,0,0,0,,0x17
ALMOXARIFADO,8001109,CAMISA UNISEX MANGA CURTA INSTALADOR M,PRODUTOS DE MARKETING,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,C,36,0,0,0,0,0,0,0,0,,0x17
PAINEIS,1500018,PAINEL MOSTRUÁRIO M²,PAINEIS,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,C,0,0,0,0,0,0,0,0,0,,
